arquivo;nome;genero;selo_anterior;selo_revisado;justificativa;rega_ficha
bulbophyllum-miniatum.js;Bulbophyllum saltatorium var. albociliatum;Bulbophyllum;constante;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";"Mantenha umidade leve e relativamente constante durante o crescimento, sem permitir encharcamento permanente. Em montagem, pode exigir regas diárias no calor; em cesto ou vaso, regue novamente quando a camada superficial começar a perder umidade. Não imponha repouso seco completo."
bulbophyllum-rothschildianum.js;Bulbophyllum rothschildianum;Bulbophyllum;moderada;muito-frequente;"Bulbophyllum é tratado como grupo de alta demanda hídrica; manter raízes/meio úmidos com excelente aeração.";Durante brotação e enraizamento, ofereça água abundante e regular, sempre com drenagem rápida. Não deixe o meio secar completamente por vários dias. Em períodos mais frios ou de crescimento lento, reduza moderadamente a frequência, mas mantenha alguma umidade.
bulbophyllum-sikkimense.js;Bulbophyllum roxburghii;Bulbophyllum;moderada;muito-frequente;"Bulbophyllum é tratado como grupo de alta demanda hídrica; manter raízes/meio úmidos com excelente aeração.";Irrigue regularmente durante brotação e enraizamento, sempre com drenagem rápida. Depois da maturação, reduza apenas moderadamente a frequência se o clima ficar mais fresco. Não imponha seca prolongada.
bulbophyllum-syciobulbon.js;Bulbophyllum sicyobulbon;Bulbophyllum;constante;muito-frequente;"Bulbophyllum é tratado como grupo de alta demanda hídrica; manter raízes/meio úmidos com excelente aeração.";Mantenha umidade leve e relativamente constante enquanto houver crescimento, mas com drenagem imediata e muito ar nas raízes. O material junto ao rizoma pode permanecer ligeiramente úmido, nunca encharcado. Evite tanto a secagem total por vários dias quanto a saturação contínua. Em períodos frios ou muito nublados, ajuste a frequência à velocidade real de secagem e regue preferencialmente pela manhã.
camaridium-carinatum.js;Maxillaria imbricata;Maxillaria;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Durante crescimento ativo, regue bem e permita que a camada superficial e parte da intermediária arejem antes da próxima irrigação. Não mantenha o recipiente permanentemente saturado. Depois da maturação, aumente moderadamente o intervalo sem impor seca prolongada. Prefira regas pela manhã para que bainhas e brotações sequem antes da noite.
catasetum-mattosianum.js;Catasetum mattosianum;Catasetum;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";"Divida o manejo em fases. Broto recém-surgido: mantenha o vaso predominantemente seco e evite encharcar. Quando várias raízes novas atingirem aproximadamente 5 a 8 cm, aumente a água gradualmente. Durante o crescimento explosivo e o engrossamento do pseudobulbo, regue abundantemente. Quando as folhas amarelecerem e caírem, reduza fortemente ou suspenda as regas regulares; hidrate apenas de forma mínima se os pseudobulbos entrarem em desidratação excessiva."
cattleya-a-brazilian-dream.js;Cattleya A Brazilian Dream;Cattleya;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Durante crescimento ativo, regue profundamente e deixe o meio perder grande parte da umidade antes da próxima irrigação. Depois da maturação, aumente gradualmente o intervalo, observando a atividade das raízes. Não copie automaticamente a seca extrema de C. nobilior se o híbrido continuar ativo: a herança de C. loddigesii pede manejo mais flexível.
cattleya-aclandiae-tipo.js;Cattleya aclandiae;Cattleya;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante crescimento ativo, regue generosamente e permita secagem muito rápida, com forte circulação de ar. Plantas montadas podem exigir regas frequentes no verão quente. No período de menor atividade, aumente os intervalos e reproduza uma estação relativamente mais seca, mas não deixe pseudobulbos desidratarem severamente. A regra é água abundante quando ativa e secagem rápida sempre.
cattleya-chocolate-drop.js;Cattlianthe Chocolate Drop;Cattlianthe;moderada;frequente;A ficha explicitamente pede rega frequente ou substrato regularmente úmido.;"Regue abundantemente durante brotação e alongamento dos pseudobulbos, deixando o substrato quase secar antes da próxima aplicação. Após a maturação, aumente ligeiramente o intervalo, sem impor seca severa. Evite água parada em bainhas e espatas, especialmente à noite. Raízes claras e firmes indicam saúde; raízes escuras, ocas e substrato com odor azedo indicam retenção excessiva."
cattleya-guttata-var-coerulea.js;Cattleya guttata f. coerulea;Cattleya;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";No crescimento ativo, regue generosamente e deixe o meio drenar e perder grande parte da umidade antes de regar novamente. A meta é secagem acentuada e forte oxigenação, não obrigatoriamente deixar toda a massa radicular absolutamente seca por longos períodos. Após a maturação dos pseudobulbos, aumente moderadamente os intervalos conforme temperatura e velocidade de secagem.
cattleya-intermedia.js;Cattleya intermedia;Cattleya;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";"Durante brotação e emissão de raízes, regue abundantemente e permita que o substrato perca boa parte da umidade antes da próxima irrigação. No inverno ou em períodos de menor atividade, reduza somente conforme a secagem realmente ficar mais lenta. A espécie não exige seca forte; em dias quentes e ventilados, mesmo no inverno, pode continuar necessitando de regas regulares."
cattleya-leopoldii-dark-princess.js;Cattleya tigrina 'Dark Princess';Cattleya;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante o crescimento, regue abundantemente e permita secagem quase completa antes da próxima aplicação. Após a maturação, aumente o intervalo, acompanhando o clima. No inverno, evite substrato frio e constantemente molhado. A planta tolera melhor breve secagem que abafamento prolongado, mas hastes em crescimento não devem sofrer desidratação repetida.
cattleya-loddigesii.js;Cattleya loddigesii;Cattleya;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Durante brotação e enraizamento, regue abundantemente e permita que o substrato perca boa parte da umidade antes da próxima irrigação. No outono e inverno, reduza a frequência conforme temperatura, chuva, atividade radicular e velocidade de secagem, sem deixar os pseudobulbos desidratarem em excesso. Cattleya loddigesii não exige repouso seco rigoroso.
cattleya-lueddemanniana-tipo.js;Cattleya lueddemanniana;Cattleya;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante o crescimento ativo, regue abundantemente e deixe o sistema radicular secar de forma significativa antes da próxima irrigação. Após a maturação do pseudobulbo, aumente gradualmente o intervalo entre as regas, mantendo a planta mais seca sem provocar desidratação excessiva. Em Litoral de clima quente, a frequência deve acompanhar o suporte, a temperatura e a velocidade real de secagem.
cattleya-nobilior-var-amaliae.js;Cattleya nobilior var. amaliae;Cattleya;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante crescimento ativo e emissão de raízes, regue abundantemente e permita secagem rápida antes da próxima irrigação. Depois que os pseudobulbos amadurecerem e a estação seca se estabelecer, aumente bastante o intervalo entre as regas. No repouso, forneça apenas a água necessária para impedir desidratação severa. Não espere obrigatoriamente uma ponta verde para cada irrigação, mas use a atividade radicular, o turgor dos pseudobulbos, a temperatura e o suporte em conjunto para decidir. Em Litoral de clima quente, proteger da chuva persistente no inverno é especialmente importante.
cattleya-pumpkin-festival.js;Cattleya Pumpkin Festival;Cattleya;constante;frequente;O texto exige manutenção regular de umidade e evita secagem prolongada.;Durante o crescimento ativo, molhe abundantemente assim que o substrato estiver quase completamente seco. Após a maturação do pseudobulbo, reduza discretamente a frequência para favorecer a indução floral. Evite água acumulada na espata e nunca mantenha o substrato constantemente úmido.
cattleya-schilleriana-x-cruzeiro-do-sul.js;Cattleya schilleriana × Cruzeiro do Sul;Cattleya;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Molhe bem durante a formação dos brotos, mas só repita quando o substrato estiver próximo da secagem. Após a maturação, aumente o intervalo entre regas, sem deixar pseudobulbos murcharem excessivamente. Evite água acumulada nas bainhas, regas noturnas e o uso de cachepôs decorativos fechados. Se a planta murchar com o substrato ainda úmido, verifique imediatamente as raízes.
cattleya-schilleriana.js;Cattleya schilleriana;Cattleya;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";"Durante a emissão de brotos e raízes, molhe abundantemente pela manhã, atingindo todo o sistema radicular, e permita que o suporte seque rapidamente. Em placas e cachepôs, a frequência pode ser maior; em vasos, a próxima rega só deve ocorrer quando o interior estiver próximo da secagem. Após o amadurecimento do pseudobulbo, aumente o intervalo entre regas, mantendo umidade ambiental elevada e sem provocar enrugamento severo. Pseudobulbos murchos com substrato úmido geralmente indicam raízes mortas por abafamento, não falta de água. Evite molhar no final da tarde, deixar água presa entre as folhas ou na base dos brotos e utilizar água muito salina."
cattleya-violacea-f-flamea.js;Cattleya violacea f. flamea;Cattleya;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";"Regue regularmente durante todo o ano, molhando bem e permitindo leve secagem superficial antes da próxima aplicação. Em cestos, a frequência pode ser alta; em vasos, verifique o interior antes de repetir. Não deixe a planta completamente seca por vários dias e não mantenha o substrato saturado. Regue pela manhã, evite água parada no rizoma e garanta que folhas e brotos sequem antes da noite."
cattleya-violacea-f-suavissima-x-self.js;Cattleya violacea f. suavissima × self;Cattleya;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";"Regue com água de boa qualidade sempre que o substrato estiver próximo da secagem superficial. No verão, a frequência pode ser alta; no inverno, reduza apenas de acordo com a evaporação, sem impor repouso seco. Evite água acumulada no rizoma e nas bainhas. Pontas de raízes queimadas, depósitos esbranquiçados e folhas com margens secas podem indicar excesso de sais."
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js;Cattleya walkeriana (f. alba 'Gnomus' × f. alba 'Suprema');Cattleya;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante emissão de brotos e raízes novas, regue abundantemente e permita secagem rápida entre as irrigações. Em planta montada no verão de Litoral de clima quente, isso pode significar regas frequentes. Quando as raízes reduzirem a atividade e os pseudobulbos estiverem maduros, aumente gradualmente os intervalos. Não use a ponta verde como um interruptor absoluto: raízes fechadas não significam que a planta deva permanecer seca por semanas. Observe também turgor dos pseudobulbos, temperatura, umidade e velocidade de secagem do suporte.
cattleya-walkeriana.js;Cattleya walkeriana;Cattleya;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Na brotação e no enraizamento, regue abundantemente pela manhã e permita que o suporte seque completamente em poucas horas. Após a maturação, aumente progressivamente os intervalos. Durante o período frio e seco, ofereça apenas a água necessária para evitar enrugamento extremo e perda das raízes. A ausência de pontas verdes indica menor consumo, não abandono hídrico total. Evite água acumulada no rizoma, nos brotos florais e em recipientes decorativos.
cattleya-warneri.js;Cattleya warneri;Cattleya;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Durante primavera, verão e início do outono, regue quando o substrato estiver próximo da secagem. Após a maturação, aumente gradualmente os intervalos. No inverno, o vaso deve secar de forma nítida antes da próxima rega, mas os pseudobulbos não devem sofrer desidratação extrema. Evite água acumulada entre folha e espata e não molhe repetidamente a bainha em dias frios.
cattlianthe-ctt-jewel-box.js;Cattlianthe Jewel Box;Cattlianthe;moderada;frequente;A ficha explicitamente pede rega frequente ou substrato regularmente úmido.;Durante brotação e enraizamento, regue abundantemente quando o substrato estiver próximo da secagem. Após a maturação, aumente levemente o intervalo, sem desidratar os pseudobulbos. No inverno ou em semanas frias e chuvosas, reduza a frequência conforme a evaporação. Evite água acumulada nas bainhas e espatas, sobretudo à noite, pois isso favorece fungos e podridão dos botões.
coelogyne-asperata.js;Coelogyne asperata;Coelogyne;constante;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Mantenha umidade regular durante a formação dos brotos e pseudobulbos, sem permitir água estagnada. O substrato deve permanecer levemente úmido, mas com circulação de ar. Após a maturação, reduza apenas de forma moderada. No inverno quente do litoral, a planta continua consumindo água. Regue pela manhã e ajuste a frequência conforme o tamanho do recipiente, a ventilação e a evaporação.
coelogyne-cristata.js;Coelogyne cristata;Coelogyne;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Na primavera e no verão, regue abundantemente enquanto houver brotos e raízes ativas, deixando o substrato arejado. No outono, reduza de forma progressiva. Durante o inverno, mantenha quase seca, com irrigações mínimas apenas se os pseudobulbos começarem a enrugar excessivamente. Não deixe a mistura fria e molhada. Retome a rega de modo gradual com o aparecimento de botões ou novos crescimentos.
coelogyne-fimbriata.js;Coelogyne fimbriata;Coelogyne;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Durante crescimento ativo, mantenha o suporte ou substrato levemente úmido, deixando apenas a superfície secar. Em placas, regas mais frequentes podem ser necessárias. No inverno, reduza moderadamente conforme a evaporação, sem impor seca total. O rizoma e as raízes finas não toleram desidratação prolongada nem água estagnada.
coelogyne-flaccida.js;Coelogyne flaccida;Coelogyne;frequente;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Durante a formação dos novos pseudobulbos, regue com frequência e deixe apenas a superfície secar levemente. Após a maturação, reduza moderadamente. No inverno, mantenha leve umidade sem deixar a mistura fria e saturada. Não permita desidratação severa dos pseudobulbos. Regue pela manhã e mantenha ventilação constante.
coelogyne-ovalis-var-miniatum.js;Coelogyne ovalis ‘Miniatum’;Coelogyne;constante;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Mantenha umidade regular durante o crescimento, mas permita boa entrada de ar no sistema radicular. A espécie ocorre tanto sobre árvores quanto rochas musgosas, indicando raízes acostumadas a umidade frequente sem compactação. No período mais fresco, reduza moderadamente se a planta desacelerar, sem impor seca severa nem deixar os pseudobulbos enrugarem de forma contínua.
colmanara-wildcat.js;Oncostele Wildcat;Oncostele;moderada;frequente;A ficha explicitamente pede rega frequente ou substrato regularmente úmido.;Regue abundantemente e volte a molhar quando o substrato estiver próximo de secar, sem deixar a mistura permanecer encharcada. Durante brotação e formação do pseudobulbo, evite secas longas. Em períodos mais frios ou de crescimento lento, aumente o intervalo entre regas. Pseudobulbo enrugado com substrato constantemente molhado sugere problema radicular, não falta de água.
cyrtopodium-podophyllum.js;Cyrtopodium flavum;Cyrtopodium;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Com brotos, raízes e folhas ativas, regue fartamente e permita drenagem imediata. À medida que o crescimento amadurece e as folhas amarelecem, aumente gradualmente o intervalo. Na dormência, mantenha apenas água suficiente para evitar desidratação extrema, ajustando à temperatura e à umidade local. O comportamento da planta vale mais do que um calendário fixo.
cyrtopodium-saintlegerianum.js;Cyrtopodium saintlegerianum;Cyrtopodium;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Durante brotação e expansão foliar, regue abundantemente e permita secagem rápida entre irrigações. Quando as folhas amarelecerem naturalmente, reduza progressivamente. Na fase desfolhada, mantenha a planta muito mais seca e proteja de chuvas repetidas, sem transformar a regra em seca absoluta se os pseudobulbos estiverem desidratando de forma extrema.
dendrobium-aggregatum.js;Dendrobium lindleyi;Dendrobium;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Com brotos e raízes ativos, regue generosamente e deixe o suporte secar parcialmente entre irrigações. Quando os pseudobulbos estiverem maduros e o crescimento parar, reduza gradualmente. No repouso, forneça apenas água suficiente para evitar enrugamento excessivo e prolongado. Chuva frequente fora de época pode reduzir a indução floral e aumentar risco de podridão.
dendrobium-loddigesii.js;Dendrobium loddigesii;Dendrobium;frequente;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Durante o crescimento, regue com frequência e permita secagem rápida. Quando as hastes endurecerem e perderem folhas, reduza fortemente. No repouso, molhe apenas se houver enrugamento acentuado. Hastes ligeiramente sulcadas são normais.
dendrobium-moscatum.js;Dendrobium moschatum;Dendrobium;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Na primavera e no verão, regue abundantemente e permita secagem parcial. Quando a haste cessar o crescimento, endurecer e mudar discretamente de aspecto, reduza moderadamente. No inverno, mantenha hidratação espaçada, sem seca extrema e sem substrato continuamente molhado.
dendrobium-polysema.js;Dendrobium polysema;Dendrobium;constante;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Mantenha umidade regular durante todo o ano, sem deixar o substrato encharcado. Em clima quente, regue pela manhã e aumente a umidade ambiental sem manter água parada. No frio, reduza discretamente conforme a evaporação, sem impor seca total.
dendrobium-spectabile.js;Dendrobium spectabile;Dendrobium;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante o crescimento ativo, regue abundantemente e não deixe as raízes permanecerem secas por longos períodos. O recipiente, porém, deve drenar imediatamente. Quando as hastes amadurecerem e a atividade diminuir, amplie moderadamente os intervalos sem impor uma seca extrema.
dendrobium-tenellum.js;Dendrobium tenellum;Dendrobium;constante;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Na fase vegetativa, mantenha o substrato levemente úmido, com secagem parcial entre as regas. No inverno, reduza significativamente, mas não deixe as hastes secarem por longos períodos. Proteja da chuva contínua durante o descanso.
dichaea-cogniauxiana.js;Dichaea cogniauxiana;Dichaea;moderada;muito-frequente;"Dichaea é tratado como grupo de alta demanda hídrica; manter raízes/meio úmidos com excelente aeração.";Mantenha raízes e suporte regularmente úmidos, evitando secagem prolongada. Regue abundantemente e permita drenagem imediata. Em montagem, a frequência pode aumentar bastante nos períodos quentes e secos. A espécie aprecia umidade superior à média, mas necessita simultaneamente de elevada oxigenação radicular e não tolera água estagnada.
dichaea-pendula.js;Dichaea pendula;Dichaea;moderada;muito-frequente;"Dichaea é tratado como grupo de alta demanda hídrica; manter raízes/meio úmidos com excelente aeração.";Mantenha as raízes regularmente úmidas, sem permitir secas prolongadas. Em placas, regas diárias podem ser necessárias no verão. A frequência deve cair quando a evaporação diminuir, mas nunca ao ponto de desidratar completamente a planta. Regue preferencialmente pela manhã e garanta ventilação suficiente para que a água não permaneça acumulada entre bainhas e folhas durante a noite.
dryadella-aviceps.js;Dryadella aviceps;Dryadella;constante;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Mantenha umidade relativamente constante, permitindo que o excesso de água saia rapidamente. Não deixe a touceira secar por longos períodos, mas também não mantenha o centro do vaso cronicamente saturado. Em montagens, a rega pode ser diária no calor; em vasos com esfagno, espere a superfície se aproximar da secagem antes de regar novamente."
dryadella-liliputiana.js;Dryadella lilliputiana;Dryadella;constante;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";"Mantenha umidade relativamente estável, mas nunca uma massa de substrato quente e saturada. Regue novamente quando o material ao redor das raízes estiver se aproximando da secagem. Em montagem com pouco musgo, pode exigir rega diária no verão; em vaso com esfagno, o intervalo deve ser maior. Evite tanto seca prolongada quanto encharcamento contínuo."
encyclia-alboxanthina.js;Encyclia alboxanthina;Encyclia;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Durante crescimento ativo, regue bem e deixe o substrato perder boa parte da umidade antes de molhar novamente. Após a maturação dos pseudobulbos, aumente moderadamente os intervalos. Tolera leve secagem melhor que raízes permanentemente saturadas.
